id;author;author_name;tk_id;views;hearts;comments;shares;created_date;tags;duration;music;music_url;post_url;local_download_path;local_edit_path;claimed;uploaded;last_update;is_downloaded
@abisicar_6958203317411499269;abisicari;;;148.8;0;0;0;0;abisicari|fyp|otaku;9;Ha Ha Ha;;https://tiktok.com/@abisicari/video/6958203317411499269;./downloaded/downloads\@abisicar_6958203317411499269.mp4;;0;1;23-06-2021T03:37:12;0
@ligmafrenchfries_6836563530473344261;ligmafrenchfries;;;96.9;0;0;0;0;ligmafrenchfries|fyp;15;Kolors;;https://tiktok.com/@ligmafrenchfries/video/6836563530473344261;./downloaded/downloads\@ligmafrenchfries_6836563530473344261.mp4;;1;0;25-06-2021T07:40:46;0
@tillyramsay_6946241145101929734;tillyramsay;;;112.6;0;0;0;0;tillyramsay|fyp;8;the real sorority check;;https://tiktok.com/@tillyramsay/video/6946241145101929734;./downloaded/downloads\@tillyramsay_6946241145101929734.mp4;;1;0;25-06-2021T07:40:45;0
@minecraft_oon_6887911738507840770;minecraft_oon;;;160.3;0;0;0;0;minecraft_oon|minecraft|minecraftpe|minecraftbuilding|satisfying|build|house|foryou|pourtoi|tiktok|fyp|tendance|tiktok;30;original sound;;https://tiktok.com/@minecraft_oon/video/6887911738507840770;./downloaded/downloads\@minecraft_oon_6887911738507840770.mp4;;1;0;19-06-2021T18:39:56;0
@ricecowboy_6935536179399953670;ricecowboy;;;140.2;0;0;0;0;ricecowboy|rabbit|rabbits|rabbitrescue|rabbitsoftiktok|bunny|bunnies|bunniesoftiktok|bunnyrescue|abc|xyz|fyp|foryou;18;Lonely;;https://tiktok.com/@ricecowboy/video/6935536179399953670;./downloaded/downloads\@ricecowboy_6935536179399953670.mp4;;1;0;25-06-2021T07:40:49;0
@ox_zung_6910202622200909058;ox_zung;;;138.8;0;0;0;0;ox_zung|_i2_|fyp|viral|funny|xyzbca|korean|_;10;_- _;;https://tiktok.com/@ox_zung/video/6910202622200909058;./downloaded/downloads\@ox_zung_6910202622200909058.mp4;;1;0;25-06-2021T07:40:49;0
@skywaymisfits_6938045656640605445;skywaymisfits;;;148.2;0;0;0;0;skywaymisfits|skywaymisfits|floridafishing|goliath|grouper|fyp|xyzbca|tampa|family|bangenergy;59;original sound;;https://tiktok.com/@skywaymisfits/video/6938045656640605445;./downloaded/downloads\@skywaymisfits_6938045656640605445.mp4;;0;1;25-06-2021T07:40:50;0
@korasplanet_6857970538422357253;korasplanet;;;104.3;0;0;0;0;korasplanet|duet|popcornduet|fyp|foryou|xyzbca|ThisIsBliss|OutfitChange|GetFit|ACupgrade;14;original sound - _;;https://tiktok.com/@korasplanet/video/6857970538422357253;./downloaded/downloads\@korasplanet_6857970538422357253.mp4;;0;1;25-06-2021T07:40:52;0
@.baby.frogs_6955517063230278918;.baby.frogs;;;127.7;0;0;0;0;.baby.frogs|frogarmy|tadpoles|pool|nature|fyp;21;original sound;;https://tiktok.com/@.baby.frogs/video/6955517063230278918;./downloaded/downloads\@.baby.frogs_6955517063230278918.mp4;;0;1;25-06-2021T07:40:52;0
@tommasomasino1_6930643307429170437;tommasomasino1;;;119.3;0;0;0;0;tommasomasino1|collage|fyp|hello|ciao|salut;15;son original;;https://tiktok.com/@tommasomasino1/video/6930643307429170437;./downloaded/downloads\@tommasomasino1_6930643307429170437.mp4;;1;0;19-06-2021T18:39:56;0
@azchpn_6894578098059201794;azchpn;;;102.9;0;0;0;0;azchpn|poodle|fyp|dogsoftiktok|foryourpage|c_";14;_"_2 - Panna;;https://tiktok.com/@azchpn/video/6894578098059201794;./downloaded/downloads\@azchpn_6894578098059201794.mp4;;1;0;19-06-2021T18:39:56;0
@dobyandbl_6798926213487348998;dobyandblue;;;127.5;0;0;0;0;dobyandblue|prank|corgi|dog|fyp|foryourpage;10;original sound;;https://tiktok.com/@dobyandblue/video/6798926213487348998;./downloaded/downloads\@dobyandbl_6798926213487348998.mp4;;0;1;21-06-2021T00:05:08;0
@jaykindafunny8_6911384624874736902;jaykindafunny8;;;138.0;0;0;0;0;jaykindafunny8|fyp|foryou|m_yo;18;original sound;;https://tiktok.com/@jaykindafunny8/video/6911384624874736902;./downloaded/downloads\@jaykindafunny8_6911384624874736902.mp4;;0;1;19-06-2021T18:39:56;0
@mascotzol_6899854914390936838;mascotzoli;;;99.1;0;0;0;0;mascotzoli|bodychallenge|megantheestallion|fyp|mascotzoli;16;Body;;https://tiktok.com/@mascotzoli/video/6899854914390936838;./downloaded/downloads\@mascotzol_6899854914390936838.mp4;;1;0;19-06-2021T18:39:56;0
@ox_zung_6918375185200598273;ox_zung;;;152.7;0;0;0;0;ox_zung|_i2_|fyp|viral|funny|xyzbca|_;18;_- _WonJeong;;https://tiktok.com/@ox_zung/video/6918375185200598273;./downloaded/downloads\@ox_zung_6918375185200598273.mp4;;0;1;19-06-2021T18:39:56;0
@namenimsan_6911607360075091202;namenimsand;;;108.9;0;0;0;0;namenimsand|fyp|foryou|2020;13;Goodbye ;;https://tiktok.com/@namenimsand/video/6911607360075091202;./downloaded/downloads\@namenimsan_6911607360075091202.mp4;;1;0;19-06-2021T18:39:56;0
@nathangrayy_6905061246006037766;nathangrayy;;;147.0;0;0;0;0;nathangrayy|fyp|ceoofwax|viral|wax|holiday;15;Adderall (Corvette Corvette);;https://tiktok.com/@nathangrayy/video/6905061246006037766;./downloaded/downloads\@nathangrayy_6905061246006037766.mp4;;1;0;19-06-2021T18:39:56;0
