@officialhowiemandel_6749660332827970822;officialhowiemandel;116.9;officialhowiemandel|whitechicks|tiktok|howiemandel|fyp;29;A Thousand Miles;https://tiktok.com/@officialhowiemandel/video/6749660332827970822;./downloaded/100mil+\@officialhowiemandel_6749660332827970822.mp4;1;0
@yewu2_6801341759839309061;yewu2;125.2;yewu2|tiktok|fypfashionasmr;12;Without Me;https://tiktok.com/@yewu2/video/6801341759839309061;./downloaded/100mil+\@yewu2_6801341759839309061.mp4;1;0
@kamini_makeup_artist_6819937536668945665;kamini_makeup_artist;114.7;kamini_makeup_artist|trending|foryou|foryoupage|tiktok|tiktokindia|dermaplaning|hair;15;GARMI 3;https://tiktok.com/@kamini_makeup_artist/video/6819937536668945665;./downloaded/100mil+\@kamini_makeup_artist_6819937536668945665.mp4;1;0
@mvryhan_6807811521897352453;mvryhan;328.8;mvryhan|tiktok|lait|fyp|рек|fanny|pourtoi;15;оригинальный звук;https://tiktok.com/@mvryhan/video/6807811521897352453;./downloaded/100mil+\@mvryhan_6807811521897352453.mp4;1;0
@piyushnagar77_6782116473985879297;piyushnagar77;127.9;piyushnagar77|puyushnagar|mercedes|tiktok|tiktokindia;11;original sound;https://tiktok.com/@piyushnagar77/video/6782116473985879297;./downloaded/100mil+\@piyushnagar77_6782116473985879297.mp4;-1;0
@sagarkds_6824497403069074689;sagarkds;101.5;sagarkds|comedy;15;original sound;https://tiktok.com/@sagarkds/video/6824497403069074689;./downloaded/100mil+\@sagarkds_6824497403069074689.mp4;1;0
@longneck_6799859472131951877;longneck;145.6;longneck|fyp|foryou|tiktok|food|foruyou;9;original sound;https://tiktok.com/@longneck/video/6799859472131951877;./downloaded/100mil+\@longneck_6799859472131951877.mp4;-1;0
@lelya_boss_6813758281102724358;lelya_boss;184.1;lelya_boss|fyp|prank|foryou|funny;17;Fanny_lylya_boss;https://tiktok.com/@lelya_boss/video/6813758281102724358;./downloaded/100mil+\@lelya_boss_6813758281102724358.mp4;0;0
@britishpromise.cats_6839416095586159878;britishpromise.cats;275.3;britishpromise.cats|catsoftiktok|viral|funny|cute|cutness|foryoupage;13;origineel geluid;https://tiktok.com/@britishpromise.cats/video/6839416095586159878;./downloaded/100mil+\@britishpromise.cats_6839416095586159878.mp4;1;0
@khaby.lame_6948740634060639493;khaby.lame;211.7;khaby.lame|foryoupage|comic;30;suono originale;https://tiktok.com/@khaby.lame/video/6948740634060639493;./downloaded/100mil+\@khaby.lame_6948740634060639493.mp4;-1;0
@khaby.lame_6935041553903717638;khaby.lame;163.3;khaby.lame|foryou|foryoupage;11;suono originale;https://tiktok.com/@khaby.lame/video/6935041553903717638;./downloaded/100mil+\@khaby.lame_6935041553903717638.mp4;-1;0
