video_id;author;views;hearts;comments;shares;post_url;upload_date
@arianalucidonio_6864357600956255494;arianalucidonio;15.2;3.1;8.1;50.0;https://tiktok.com/@arianalucidonio/video/6864357600956255494;24-08-2020T08:33:28
@gatorthechi_6939583337690352902;gatorthechi;12.1;2.9;36.6;147.1;https://tiktok.com/@gatorthechi/video/6939583337690352902;15-03-2021T01:47:38
@bigmikesfatadventures_6947337688127261957;bigmikesfatadventures;10.4;2.9;13.6;41.9;https://tiktok.com/@bigmikesfatadventures/video/6947337688127261957;04-04-2021T23:18:29
@rachel_meaders_6897393932221680902;rachel_meaders;18.6;2.8;7.0;138.1;https://tiktok.com/@rachel_meaders/video/6897393932221680902;21-11-2020T09:11:39
@toponlinefinds_6833841350060805382;toponlinefinds;24.1;2.8;9.4;74.4;https://tiktok.com/@toponlinefinds/video/6833841350060805382;03-06-2020T02:54:42
@mik.zenon_6881410784979602690;mik.zenon;14.2;2.7;14.2;97.7;https://tiktok.com/@mik.zenon/video/6881410784979602690;09-10-2020T07:28:25
@rachel_meaders_6837277310056467717;rachel_meaders;19.2;2.7;6.7;116.5;https://tiktok.com/@rachel_meaders/video/6837277310056467717;12-06-2020T09:08:01
@theamazonbadger_6933217318440848646;theamazonbadger;17.0;2.7;23.8;130.3;https://tiktok.com/@theamazonbadger/video/6933217318440848646;25-02-2021T22:04:23
@teresalauracaruso_6822694507797040389;teresalauracaruso;16.5;2.6;5.2;40.0;https://tiktok.com/@teresalauracaruso/video/6822694507797040389;04-05-2020T01:59:15
@teresalauracaruso_6874325091459566853;teresalauracaruso;15.2;2.6;5.8;84.5;https://tiktok.com/@teresalauracaruso/video/6874325091459566853;20-09-2020T05:12:26
@teresalauracaruso_6893572458423667974;teresalauracaruso;14.8;2.6;5.3;30.3;https://tiktok.com/@teresalauracaruso/video/6893572458423667974;11-11-2020T02:02:46
@stuffyouactuallyneed_6938192319871028486;stuffyouactuallyneed;14.1;2.5;25.0;80.4;https://tiktok.com/@stuffyouactuallyneed/video/6938192319871028486;11-03-2021T07:49:48
@treyfoundjules_6884350493737405701;treyfoundjules;15.5;2.5;8.9;181.3;https://tiktok.com/@treyfoundjules/video/6884350493737405701;17-10-2020T05:36:33
